Dates;USGG2YR Index;ES1 Index;SX5E Index;DG FP Equity;;TTE FP Equity;;AI FP Equity;;EL FP Equity;;AIR FP Equity;;CS FP Equity;;CAP FP Equity;;SGO FP Equity;;HENKEL HB Equity;;ML FP Equity;;MC FP Equity;;ORA FP Equity;;SU FP Equity;;SAN FP Equity;;PUB FP Equity;;TE FP Equity;;NESN SW Equity;;GE US Equity;;AAPL US Equity;
Dates;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D
18/03/2022;1.9362;4409.35;3902.44;82.7226;31.054;38.2658;35.424;119.4878;25.705;156.5778;29.712;101.4053;46.455;21.1764;29.698;185.5301;30.819;52.6756;39.475;21692.05;#N/A N/A;27.0753;36.187;606.57;33.025;8.6281;23.826;142.5491;30.205;83.0216;26.238;50.8822;37.992;9.845;45.449;111.6843;16.575;58.7224;31.15;161.366;24.983
21/03/2022;2.1153;4452.25;3881.8;82.4635;27.526;38.4928;28.727;118.4852;23.102;157.0325;26.693;100.6219;41.586;21.2304;28.005;184.2466;29.239;51.8732;38.06;21544.673;#N/A N/A;26.9644;33.76;600.69;32.061;8.7083;22.124;142.2282;29.198;83.0305;24.84;51.1814;34.616;9.685;42.731;111.0938;15.722;58.2494;31.264;162.743;25.998
22/03/2022;2.1641;4505;3926.12;83.5356;26.727;39.2308;27.496;118.0778;22.581;160.0072;25.981;103.4308;37.625;21.6169;25.663;183.9614;28.162;52.7759;35.99;21277.552;#N/A N/A;27.3527;31.931;610.84;29.943;8.7525;19.941;144.2668;28.304;83.6891;23.567;51.3574;35.029;9.63;43.669;111.2414;14.361;58.2985;29.527;166.128;23.6
23/03/2022;2.0961;4447.5;3869.22;82.124;28.86;39.5337;28.419;120.8038;23.628;159.0409;29.497;102.4563;39.473;21.3759;28.462;181.8223;30.918;51.7456;38.163;22014.437;#N/A N/A;27.0087;33.425;592.24;32.79;8.7492;20.139;142.2471;31.398;83.3153;22.926;49.3686;37.321;9.813;41.179;109.4883;16.039;57.5613;30.77;167.496;25.616
24/03/2022;2.1387;4512.5;3863.39;81.7756;29.16;39.8323;28.654;123.3261;24.469;158.5483;31.387;102.6091;38.905;21.3385;28.704;180.3487;31.116;50.5328;39.108;21355.846;#N/A N/A;26.5316;34.164;592.62;34.392;8.7688;19.601;142.3226;31.864;82.9326;23.481;48.5942;37.819;10.001;39.976;110.6509;15.494;57.8193;31.174;171.295;25.439
25/03/2022;2.2696;4536.5;3867.73;81.9632;28.249;40.613;28.871;123.6081;24.512;155.2515;33.504;102.7429;38.442;21.3759;28.909;182.7255;30.597;50.0222;39.488;21001.22;#N/A N/A;26.5538;34.083;593.86;33.375;8.8392;18.216;137.6792;34.636;82.8703;22.639;49.7382;36.664;10.207;38.37;109.9865;15.34;57.7579;30.604;171.934;24.813
28/03/2022;2.3277;4568;3887.1;82.2848;28.168;39.8366;29.312;124.2504;23.747;155.1946;30.725;102.8957;38.771;21.5047;27.754;184.722;29.961;50.7334;37.949;21457.168;#N/A N/A;26.7202;34.019;603.06;32.914;8.8752;19.315;140.0575;32.213;83.7425;22.903;49.8438;36.844;10.395;37.169;111.0015;15.399;56.517;33.37;172.8;26.779
29/03/2022;2.3646;4625.5;4002.18;85.1885;25.066;39.0858;29.365;124.5324;22.452;162.6597;26.774;108.4943;36.471;22.2861;25.036;191.3769;27.626;52.8124;34.281;21268.341;#N/A N/A;28.1628;29.096;637.31;29.884;8.8163;19.678;146.06;28.607;81.8736;22.235;50.7766;34.808;10.39;35.318;111.5367;14.948;58.1449;32.097;176.107;25.895
30/03/2022;2.3063;4596;3959.14;83.7411;27.567;40.0712;29.976;124.8614;21.978;161.8829;27.949;106.3925;37.623;22.0534;25.654;190.4262;29.819;50.5602;38.429;20780.155;#N/A N/A;27.3527;31.247;626.59;30.753;8.8065;19.499;144.0969;30.438;83.2797;21.285;50.3718;34.357;9.941;37.59;111.2599;15.277;58.1019;33.346;174.936;27.769
31/03/2022;2.3345;4530.75;3902.52;83.08;28.003;39.2735;29.927;124.4854;22.477;157.5441;29.906;105.4371;37.542;22.0825;28.57;192.5178;29.915;49.4843;38.737;20632.778;#N/A N/A;27.2861;30.946;616.06;32.781;8.7607;19.298;143.6062;30.087;82.3275;21.156;48.6294;36.804;10.115;36.627;110.9092;15.618;56.2098;34.592;171.826;28.513
